"Name","Runtime","activation","batch_size","lr","optimizer","accuracy","f1","precision","recall","train_loss","val_loss"
"P2_sgd_sigmoid_1_0.01_32_1000","119","sigmoid","32","0.01","sgd","0.6782608695652174","0.41182674968527777","0.829489119833182","0.40595454545454546","0.28774617067833697","0.38596491228070173"
"P2_sgd_tanh_1_0.001_32_1000","76","tanh","32","0.001","sgd","0.6782608695652174","0.3894179894179894","0.7992578849721708","0.3884090909090909","0.3774617067833698","0.40350877192982454"
"P2_mbgd_sigmoid_1_0.01_64_1000","18","sigmoid","64","0.01","mbgd","0.6695652173913044","0.39060297069450023","0.8184126984126984","0.3838636363636364","0.3763676148796498","0.4473684210526316"
"P2_bgd_sigmoid_1_0.01_32_1000","16","sigmoid","32","0.01","bgd","0.6521739130434783","0.39130774235523746","0.7951385570950789","0.3912272727272727","0.3851203501094092","0.3771929824561403"
"P2_mbgd_sigmoid_1_0.1_64_1000","18","sigmoid","64","0.1","mbgd","0.6521739130434783","0.38334482758620686","0.7864615384615384","0.3843636363636363","0.31838074398249455","0.38596491228070173"
"P2_bgd_sigmoid_1_0.1_32_1000","15","sigmoid","32","0.1","bgd","0.6434782608695652","0.3796087910866605","0.7756650246305419","0.38559090909090904","0.3282275711159737","0.3771929824561403"
"P2_sgd_sigmoid_1_0.001_32_1000","119","sigmoid","32","0.001","sgd","0.6434782608695652","0.35912633305988517","0.7975274725274726","0.3548636363636364","0.3763676148796498","0.3771929824561403"
"P2_sgd_tanh_1_0.01_32_1000","78","tanh","32","0.01","sgd","0.6260869565217392","0.2974612100385296","0.7580270793036751","0.3161363636363636","0.3435448577680525","0.3333333333333333"
"P2_bgd_tanh_1_0.01_32_1000","14","tanh","32","0.01","bgd","0.6173913043478261","0.35832236417602276","0.7484573502722324","0.3725","0.3544857768052516","0.40350877192982454"
"P2_mbgd_tanh_1_0.01_32_1000","16","tanh","32","0.01","mbgd","0.6173913043478261","0.30518688024408847","0.775","0.31463636363636366","0.3927789934354486","0.42105263157894735"
"P2_mbgd_sigmoid_1_0.01_32_1000","21","sigmoid","32","0.01","mbgd","0.6086956521739131","0.3055191495558468","0.8392969240426869","0.3122727272727273","0.4037199124726477","0.38596491228070173"
"P2_mbgd_tanh_1_0.01_64_1000","15","tanh","64","0.01","mbgd","0.6","0.4651563377644636","0.6430006277463904","0.2918181818181818","0.38183807439824946","0.35964912280701755"
"P2_mbgd_tanh_1_0.1_32_1000","18","tanh","32","0.1","mbgd","0.6","0.3586165413533835","0.7884254307783719","0.3496818181818182","0.3227571115973742","0.3771929824561403"
"P2_sgd_sigmoid_1_0.1_32_1000","121","sigmoid","32","0.1","sgd","0.6","0.35165945165945167","0.759145880574452","0.3507727272727273","0.2527352297592998","0.47368421052631576"
"P2_mbgd_sigmoid_1_0.001_64_1000","17","sigmoid","64","0.001","mbgd","0.6","0.26299963329666304","0.8396854204476709","0.2918181818181818","0.4026258205689278","0.35964912280701755"
"P2_sgd_relu_1_0.001_32_1000","87","relu","32","0.001","sgd","0.6","0.23319357092942003","0.7241200828157351","0.4098484848484849","0.43326039387308535","0.412280701754386"
"P2_mbgd_sigmoid_1_0.1_32_1000","19","sigmoid","32","0.1","mbgd","0.591304347826087","0.3451686019184235","0.741309080887419","0.35145454545454546","0.3074398249452954","0.3771929824561403"
"P2_mbgd_sigmoid_1_0.001_32_1000","20","sigmoid","32","0.001","mbgd","0.5826086956521739","0.31743454652975645","0.761875","0.3150909090909091","0.4540481400437637","0.43859649122807015"
"P2_mbgd_tanh_1_0.1_64_1000","15","tanh","64","0.1","mbgd","0.5826086956521739","0.29170464302225746","0.6931865828092244","0.3013636363636364","0.32166301969365424","0.3771929824561403"
"P2_sgd_tanh_1_0.1_32_1000","84","tanh","32","0.1","sgd","0.5739130434782609","0.2737009710479693","0.8474358974358974","0.2932272727272728","0.4288840262582057","0.34210526315789475"
"P2_bgd_sigmoid_1_0.001_32_1000","14","sigmoid","32","0.001","bgd","0.5565217391304348","0.24438336082096387","0.8228675136116153","0.2712727272727273","0.4442013129102845","0.3947368421052632"
"P2_mbgd_tanh_1_0.001_32_1000","18","tanh","32","0.001","mbgd","0.5391304347826087","0.19742276044092533","0.6802054154995331","0.3851515151515152","0.5032822757111597","0.49122807017543857"
"P2_bgd_tanh_1_0.001_32_1000","14","tanh","32","0.001","bgd","0.5304347826086957","0.2328019058090526","0.8124621899576528","0.2581818181818182","0.4649890590809628","0.5087719298245614"
"P2_mbgd_tanh_1_0.001_64_1000","15","tanh","64","0.001","mbgd","0.5217391304347826","0.3605182681474328","0.5130165060374433","0.37712121212121213","0.4201312910284464","0.38596491228070173"
"P2_mbgd_relu_1_0.01_64_1000","14","relu","64","0.01","mbgd","0.4956521739130435","0.35501792114695335","0.5437500000000001","0.3734848484848485","0.44638949671772427","0.4824561403508772"
"P2_mbgd_relu_1_0.01_32_1000","15","relu","32","0.01","mbgd","0.48695652173913045","0.5275790101371497","0.35890652557319225","0.36333333333333334","0.43216630196936545","0.4473684210526316"
"P2_bgd_tanh_1_0.1_32_1000","13","tanh","32","0.1","bgd","0.43478260869565216","0.16477702191987906","0.46196603641456585","0.4504545454545455","0.563457330415755","0.45614035087719296"
"P2_bgd_relu_1_0.001_32_1000","13","relu","32","0.001","bgd","0.391304347826087","0.17496229260935145","0.7152014652014652","0.3234848484848485","0.5919037199124726","0.6403508771929824"
