"Name","activation","lr","optimizer","batch_size","num_epochs","hidden_layers","train_loss","val_loss","test_loss","test_rmse","test_r_squared"
"P3_bgd_relu_1_0.001_32_1000","relu","0.001","bgd","32","1000","[8]","9.426675879029297","19.699095581335836","10.451520802601104","3.2328811921567895","0.8740079941088795"
"P3_sgd_relu_1_0.001_32_1000","relu","0.001","sgd","32","1000","[8]","7.602558448986886","20.720353521172836","7.488174600667635","2.7364529231594017","0.9097308270997024"
"P3_mbgd_relu_1_0.001_32_1000","relu","0.001","mbgd","32","1000","[8]","7.401104329883168","23.469117163391463","9.675291042939946","3.1105129871035655","0.8833653638447511"
"P3_mbgd_relu_1_0.01_32_1000","relu","0.01","mbgd","32","1000","[8]","20.694094025603903","26.59024499104247","19.64784106366862","4.432588528576572","0.7631473013548941"
"P3_sgd_relu_1_0.01_32_1000","relu","0.01","sgd","32","1000","[8]","36.85167294575","30.8560095177375","31.89061257421382","5.647177398861649","0.6155619528287382"
"P3_sgd_relu_1_0.1_32_1000","relu","0.1","sgd","32","1000","[8]","274.3852413709657","209.23795222043327","220.65617114808052","14.85450003022924","-1.6599873970764274"
"P3_mbgd_tanh_1_0.1_32_1000","tanh","0.1","mbgd","32","1000","[8]","561.9623267326733","502.0719607843138","484.13117647058823","22.002981081448674","-4.836151426190244"
"P3_bgd_tanh_1_0.1_32_1000","tanh","0.1","bgd","32","1000","[8]","561.9623267326733","502.0719607843138","484.13117647058823","22.002981081448674","-4.836151426190244"
"P3_mbgd_sigmoid_1_0.1_32_1000","sigmoid","0.1","mbgd","32","1000","[8]","561.9623267326733","502.0719607843138","484.13117647058823","22.002981081448674","-4.836151426190244"
"P3_bgd_sigmoid_1_0.1_32_1000","sigmoid","0.1","bgd","32","1000","[8]","561.9623267326733","502.0719607843138","484.13117647058823","22.002981081448674","-4.836151426190244"
"P3_sgd_tanh_1_0.1_32_1000","tanh","0.1","sgd","32","1000","[8]","561.962329710452","502.0719638112563","484.1311795104126","22.00298115052623","-4.836151462835013"
"P3_sgd_sigmoid_1_0.1_32_1000","sigmoid","0.1","sgd","32","1000","[8]","561.962334705538","502.0719689377905","484.1311846033673","22.00298126625952","-4.836151524230058"
"P3_sgd_tanh_1_0.01_32_1000","tanh","0.01","sgd","32","1000","[8]","561.9623605315388","502.07199511950387","484.13121100513285","22.002981866218335","-4.83615184250062"
"P3_mbgd_tanh_1_0.01_32_1000","tanh","0.01","mbgd","32","1000","[8]","561.96237398656","502.072006371499","484.1312201059759","22.00298207302765","-4.836151952210344"
"P3_bgd_tanh_1_0.01_32_1000","tanh","0.01","bgd","32","1000","[8]","561.9623854866811","502.0720174760635","484.1312306595155","22.00298231284831","-4.836152079432177"
"P3_sgd_sigmoid_1_0.01_32_1000","sigmoid","0.01","sgd","32","1000","[8]","561.9624155752338","502.0720515696923","484.1312676589477","22.002983153630502","-4.836152525456517"
"P3_mbgd_sigmoid_1_0.01_32_1000","sigmoid","0.01","mbgd","32","1000","[8]","561.9624800997294","502.0721173987565","484.131328728507","22.002984541386812","-4.83615326164376"
"P3_sgd_tanh_1_0.001_32_1000","tanh","0.001","sgd","32","1000","[8]","561.9627449646598","502.0723812801286","484.1315970491022","22.002990638754135","-4.836156496220875"
"P3_sgd_sigmoid_1_0.001_32_1000","sigmoid","0.001","sgd","32","1000","[8]","561.9633418257195","502.07300799894176","484.13221577945734","22.00300469889186","-4.836163954951525"
"P3_mbgd_tanh_1_0.001_32_1000","tanh","0.001","mbgd","32","1000","[8]","561.9636175179727","502.0732047514113","484.1323650547471","22.00300809104853","-4.836165754449755"
"P3_bgd_sigmoid_1_0.01_32_1000","sigmoid","0.01","bgd","32","1000","[8]","561.9637168436678","502.07338766383657","484.1325825186794","22.00301303273439","-4.836168375955042"
"P3_mbgd_sigmoid_1_0.001_32_1000","sigmoid","0.001","mbgd","32","1000","[8]","561.9639054867131","502.07355300894983","484.1327179450253","22.0030161101842","-4.836170008505682"
"P3_bgd_tanh_1_0.001_32_1000","tanh","0.001","bgd","32","1000","[8]","561.9726239163866","502.08242440747347","484.1415305296826","22.003216367833193","-4.836276243305289"
"P3_bgd_sigmoid_1_0.001_32_1000","sigmoid","0.001","bgd","32","1000","[8]","561.9780529534988","502.088019865439","484.14697772307306","22.003340149238095","-4.836341908660093"
"P3_bgd_relu_1_0.01_32_1000","relu","0.01","bgd","32","1000","[8]","606.5553960396039","544.9660784313725","525.1899999999999","22.917024239634603","-5.331111311330853"
"P3_mbgd_relu_1_0.1_32_1000","relu","0.1","mbgd","32","1000","[8]","606.5553960396039","544.9660784313725","525.1899999999999","22.917024239634603","-5.331111311330853"
"P3_bgd_relu_1_0.1_32_1000","relu","0.1","bgd","32","1000","[8]","606.5553960396039","544.9660784313725","525.1899999999999","22.917024239634603","-5.331111311330853"
