"Name","architecture","batch_size","dropout","lr","num_epochs","epoch","test_acc","test_acc1","train_acc","train_loss","val_acc","val_loss"
"P4_Net3_0.001_32_20_0.5","Net3","32","0.5","0.001","20","20","99.23333333333332","99.14","0.9958095238095238","0.012467281872118615","0.9918888888888888","0.04524095754650056"
"P4_Net2_0.001_32_20_0.5","Net2","32","0.5","0.001","20","20","99.32222222222222","99.31","0.995904761904762","0.0130961421894597","0.9915555555555556","0.040192676535391034"
"P4_Net2_0.001_64_20_0.5","Net2","64","0.5","0.001","20","20","99.14444444444445","99.23","0.9952142857142856","0.014061828358056624","0.9912222222222222","0.0386964910015269"
"P4_Net2_0.001_64_20_0","Net2","64","0","0.001","20","20","99.13333333333334","99.15","0.998452380952381","0.006091679179871711","0.9912222222222222","0.047794832647479954"
"P4_Net3_0.001_16_20_0.5","Net3","16","0.5","0.001","20","20","99.08888888888887","99.17","0.9959285714285714","0.013525555381961436","0.9904444444444443","0.050320296834552185"
"P4_Net3_0.001_64_20_0.5","Net3","64","0.5","0.001","20","20","99.18888888888888","99.3","0.9953571428571428","0.01294162635693427","0.9903333333333332","0.0507455052585412"
"P4_Net2_0.001_16_20_0.5","Net2","16","0.5","0.001","20","20","99.06666666666666","98.99","0.9952857142857144","0.0185731540796146","0.9903333333333332","0.06188634688306118"
"P4_Net2_0.001_32_20_0","Net2","32","0","0.001","20","20","98.83333333333331","99.19","0.9983809523809524","0.0056390369061724375","0.99","0.05343239722431403"
"P4_Net3_0.001_32_20_0","Net3","32","0","0.001","20","20","99.04444444444444","98.98","0.9987380952380952","0.004656644718254672","0.9892222222222222","0.06055293352247006"
"P4_Net2_0.001_16_40_0.5","Net2","16","0.5","0.001","40","40","98.95555555555556","99.32","0.9971666666666666","0.014174437517863675","0.989","0.1277858700047046"
"P4_Net3_0.001_16_20_0","Net3","16","0","0.001","20","20","98.95555555555556","99.1","0.9981904761904762","0.006254023601620004","0.9888888888888888","0.08278470062016084"
"P4_Net2_0.001_16_20_0","Net2","16","0","0.001","20","20","99.08888888888887","99.03","0.9980238095238096","0.009823833884778668","0.9886666666666668","0.08143613861629066"
